project_id,project_name,project_budget,start_date,end_date,department_id
201,Website Overhaul,60000,1/15/2024,6/30/2025,1
202,Social Media Strategy,45000,2/20/2024,9/10/2025,2
203,Product Launch,80000,3/30/2024,12/31/2025,3
204,CRM Integration,50000,1/20/2022,1/20/2023,1
205,Brand Repositioning,70000,4/1/2022,4/1/2023,2
206,Mobile App Development,70000,6/10/2024,8/15/2025,1
207,SEO Optimization,50000,8/1/2024,11/1/2025,2
208,Customer Support System,55000,12/15/2022,12/15/2022,3
209,Market Research,30000,3/25/2022,3/25/2023,4
210,New Marketing Campaign,60000,9/10/2024,12/10/2025,4
